instr_text,textStim,textStimPos,correKey,LearnC_repeatIF.thisRepN,LearnC_repeatIF.thisTrialN,LearnC_repeatIF.thisN,LearnC_repeatIF.thisIndex,Learn_com_24x1.thisRepN,Learn_com_24x1.thisTrialN,Learn_com_24x1.thisN,Learn_com_24x1.thisIndex,TestC_repeatIF.thisRepN,TestC_repeatIF.thisTrialN,TestC_repeatIF.thisN,TestC_repeatIF.thisIndex,Test_com_24x6.thisRepN,Test_com_24x6.thisTrialN,Test_com_24x6.thisN,Test_com_24x6.thisIndex,LearnI_repeatIF.thisRepN,LearnI_repeatIF.thisTrialN,LearnI_repeatIF.thisN,LearnI_repeatIF.thisIndex,Learn_incom_24x1.thisRepN,Learn_incom_24x1.thisTrialN,Learn_incom_24x1.thisN,Learn_incom_24x1.thisIndex,TestI_repeatIF.thisRepN,TestI_repeatIF.thisTrialN,TestI_repeatIF.thisN,TestI_repeatIF.thisIndex,Test_incom_24x6.thisRepN,Test_incom_24x6.thisTrialN,Test_incom_24x6.thisN,Test_incom_24x6.thisIndex,instr_start.started,key_start.started,key_start.keys,key_start.rt,instr_above.started,Stim_R.started,lines_R.started,note1_R.started,note2_R.started,instr_R.started,Stim_L.started,lines_L.started,note1_L.started,note2_L.started,instr_L.started,key_continue.started,instr_contin.started,key_continue.keys,key_continue.rt,instr_ask.started,ask_learn.started,ask_learn.keys,ask_learn.rt,Stim_learn.started,lines_learn.started,note1_learn.started,note2_learn.started,Resp_learn.started,Resp_learn.keys,Resp_learn.corr,Resp_learn.rt,text_judge.started,congra_ask.started,ask_test.started,ask_test.keys,ask_test.rt,Stim.started,lines.started,note2.started,note1.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,text_fb.started,text_fb.stopped,above_instr.started,R_stim.started,R_lines.started,R_note1.started,R_note2.started,R_instr.started,L_stim.started,L_lines.started,L_note1.started,L_note2.started,L_instr.started,continue_key.started,contin_instr.started,continue_key.keys,continue_key.rt,text_jd2.started,text_jd2.stopped,text_fb2.started,text_fb2.stopped,text_end.started,text_end.stopped,participant,gender,education,age,session,date,expName,psychopyVersion,frameRate,
~请按空格键进入练习阶段~,悲伤,"(0.0, -0.15)",f,0,0,0,0,0,8,8,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.18364220001968,236.18364220001968,236.18364220001968,236.18364220001968,236.18364220001968,f,1,2.064508899988141,238.26887830003398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230624_lqy,女,大学,46,001,2023-06-24_16h51.43.963,nalin_IRAP,2023.1.2,91.06804601294814,
~请按空格键进入练习阶段~,愁苦,"(0.0, 0.3)",j,0,0,0,0,0,9,9,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.7748348999885,238.7748348999885,238.7748348999885,238.7748348999885,238.7748348999885,j,1,2.0036225999938324,240.80119540001033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230624_lqy,女,大学,46,001,2023-06-24_16h51.43.963,nalin_IRAP,2023.1.2,91.06804601294814,
~请按空格键进入练习阶段~,快乐,"(0.0, 0.3)",f,0,0,0,0,0,10,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.32052559999283,241.32052559999283,241.32052559999283,241.32052559999283,241.32052559999283,f,1,3.3027581000351347,244.64271590003045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230624_lqy,女,大学,46,001,2023-06-24_16h51.43.963,nalin_IRAP,2023.1.2,91.06804601294814,
~请按空格键进入练习阶段~,愉快,"(0.0, -0.15)",j,0,0,0,0,0,11,11,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.14904019999085,245.14904019999085,245.14904019999085,245.14904019999085,245.14904019999085,j,1,2.126383700000588,247.2928565000184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230624_lqy,女,大学,46,001,2023-06-24_16h51.43.963,nalin_IRAP,2023.1.2,91.06804601294814,
~请按空格键进入练习阶段~,喜悦,"(0.0, 0.3)",f,0,0,0,0,0,12,12,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.80858820001595,247.80858820001595,247.80858820001595,247.80858820001595,247.80858820001595,f,1,3.596912999986671,251.42826330004027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230624_lqy,女,大学,46,001,2023-06-24_16h51.43.963,nalin_IRAP,2023.1.2,91.06804601294814,
~请按空格键进入练习阶段~,愉快,"(0.0, 0.3)",f,0,0,0,0,0,13,13,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.9377380000078,251.9377380000078,251.9377380000078,251.9377380000078,251.9377380000078,f,1,1.5495706999790855,253.50875280000037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230624_lqy,女,大学,46,001,2023-06-24_16h51.43.963,nalin_IRAP,2023.1.2,91.06804601294814,
~请按空格键进入练习阶段~,难过,"(0.0, -0.15)",f,0,0,0,0,0,14,14,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.02040540002054,254.02040540002054,254.02040540002054,254.02040540002054,254.02040540002054,j,0,5.299904599960428,259.33698260004167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230624_lqy,女,大学,46,001,2023-06-24_16h51.43.963,nalin_IRAP,2023.1.2,91.06804601294814,
~请按空格键进入练习阶段~,喜悦,"(0.0, -0.15)",j,0,0,0,0,0,15,15,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259.8385352999903,259.8385352999903,259.8385352999903,259.8385352999903,259.8385352999903,j,1,2.064726000011433,261.9300615999964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230624_lqy,女,大学,46,001,2023-06-24_16h51.43.963,nalin_IRAP,2023.1.2,91.06804601294814,
~请按空格键进入练习阶段~,失落,"(0.0, -0.15)",f,0,0,0,0,0,16,16,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.4453842000221,262.4453842000221,262.4453842000221,262.4453842000221,262.4453842000221,f,1,2.660585900011938,265.1342363000149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230624_lqy,女,大学,46,001,2023-06-24_16h51.43.963,nalin_IRAP,2023.1.2,91.06804601294814,
~请按空格键进入练习阶段~,高兴,"(0.0, -0.15)",j,0,0,0,0,0,17,17,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265.64992820000043,265.64992820000043,265.64992820000043,265.64992820000043,265.64992820000043,j,1,1.7567692999728024,267.424507800024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230624_lqy,女,大学,46,001,2023-06-24_16h51.43.963,nalin_IRAP,2023.1.2,91.06804601294814,
~请按空格键进入练习阶段~,忧郁,"(0.0, -0.15)",f,0,0,0,0,0,18,18,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267.92883250000887,267.92883250000887,267.92883250000887,267.92883250000887,267.92883250000887,f,1,3.383164200000465,271.3347582000424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230624_lqy,女,大学,46,001,2023-06-24_16h51.43.963,nalin_IRAP,2023.1.2,91.06804601294814,
~请按空格键进入练习阶段~,悲伤,"(0.0, 0.3)",j,0,0,0,0,0,19,19,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271.84634799999185,271.84634799999185,271.84634799999185,271.84634799999185,271.84634799999185,j,1,4.5424100999953225,276.4191423000302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230624_lqy,女,大学,46,001,2023-06-24_16h51.43.963,nalin_IRAP,2023.1.2,91.06804601294814,
~请按空格键进入练习阶段~,愉悦,"(0.0, -0.15)",j,0,0,0,0,0,20,20,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.9244510999997,276.9244510999997,276.9244510999997,276.9244510999997,276.9244510999997,j,1,1.383414999989327,278.32870670000557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230624_lqy,女,大学,46,001,2023-06-24_16h51.43.963,nalin_IRAP,2023.1.2,91.06804601294814,
~请按空格键进入练习阶段~,快乐,"(0.0, -0.15)",j,0,0,0,0,0,21,21,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278.8467447000439,278.8467447000439,278.8467447000439,278.8467447000439,278.8467447000439,j,1,1.089787700038869,279.95983539998997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230624_lqy,女,大学,46,001,2023-06-24_16h51.43.963,nalin_IRAP,2023.1.2,91.06804601294814,
~请按空格键进入练习阶段~,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230624_lqy,女,大学,46,001,2023-06-24_16h51.43.963,nalin_IRAP,2023.1.2,91.06804601294814,
"恭喜，你已达成80%正确率，可以继续实验

~请按空格键进入测试阶段~",伤心,"(0.0, 0.3)",j,,,,,,,,,0,0,0,0,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.49855880002724,280.49855880002724,space,16.738335600006394,297.2616709000431,297.2616709000431,297.2616709000431,297.2616709000431,297.2616709000431,j,1,9.123481900023762,306.4070854000165,,,,,,,,,,,,,,,,,,,,,,,230624_lqy,女,大学,46,001,2023-06-24_16h51.43.963,nalin_IRAP,2023.1.2,91.06804601294814,
"恭喜，你已达成80%正确率，可以继续实验

~请按空格键进入测试阶段~",伤心,"(0.0, -0.15)",f,,,,,,,,,0,0,0,0,0,1,1,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.9197572999983,306.9197572999983,306.9197572999983,306.9197572999983,306.9197572999983,f,1,2.874573400011286,309.8094737000065,,,,,,,,,,,,,,,,,,,,,,,230624_lqy,女,大学,46,001,2023-06-24_16h51.43.963,nalin_IRAP,2023.1.2,91.06804601294814,
"恭喜，你已达成80%正确率，可以继续实验

~请按空格键进入测试阶段~",愁苦,"(0.0, -0.15)",f,,,,,,,,,0,0,0,0,0,2,2,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.3166576999938,310.3166576999938,310.3166576999938,310.3166576999938,310.3166576999938,f,1,3.561968900030479,313.89613780000946,,,,,,,,,,,,,,,,,,,,,,,230624_lqy,女,大学,46,001,2023-06-24_16h51.43.963,nalin_IRAP,2023.1.2,91.06804601294814,
