instr_text,textStim,textStimPos,correKey,LearnC_repeatIF.thisRepN,LearnC_repeatIF.thisTrialN,LearnC_repeatIF.thisN,LearnC_repeatIF.thisIndex,Learn_com_24x1.thisRepN,Learn_com_24x1.thisTrialN,Learn_com_24x1.thisN,Learn_com_24x1.thisIndex,TestC_repeatIF.thisRepN,TestC_repeatIF.thisTrialN,TestC_repeatIF.thisN,TestC_repeatIF.thisIndex,Test_com_24x6.thisRepN,Test_com_24x6.thisTrialN,Test_com_24x6.thisN,Test_com_24x6.thisIndex,LearnI_repeatIF.thisRepN,LearnI_repeatIF.thisTrialN,LearnI_repeatIF.thisN,LearnI_repeatIF.thisIndex,Learn_incom_24x1.thisRepN,Learn_incom_24x1.thisTrialN,Learn_incom_24x1.thisN,Learn_incom_24x1.thisIndex,TestI_repeatIF.thisRepN,TestI_repeatIF.thisTrialN,TestI_repeatIF.thisN,TestI_repeatIF.thisIndex,Test_incom_24x6.thisRepN,Test_incom_24x6.thisTrialN,Test_incom_24x6.thisN,Test_incom_24x6.thisIndex,instr_start.started,key_start.started,key_start.keys,key_start.rt,instr_above.started,Stim_R.started,lines_R.started,note1_R.started,note2_R.started,instr_R.started,Stim_L.started,lines_L.started,note1_L.started,note2_L.started,instr_L.started,key_continue.started,instr_contin.started,key_continue.keys,key_continue.rt,instr_ask.started,ask_learn.started,ask_learn.keys,ask_learn.rt,Stim_learn.started,lines_learn.started,note1_learn.started,note2_learn.started,Resp_learn.started,Resp_learn.keys,Resp_learn.corr,Resp_learn.rt,text_judge.started,text_judge.stopped,congra_ask.started,ask_test.started,ask_test.keys,ask_test.rt,Stim.started,lines.started,note2.started,note1.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,text_fb.started,text_fb.stopped,above_instr.started,R_stim.started,R_lines.started,R_note1.started,R_note2.started,R_instr.started,L_stim.started,L_lines.started,L_note1.started,L_note2.started,L_instr.started,continue_key.started,contin_instr.started,continue_key.keys,continue_key.rt,text_jd2.started,text_jd2.stopped,text_fb2.started,text_fb2.stopped,text_end.started,text_end.stopped,participant,gender,education,age,session,date,expName,psychopyVersion,frameRate,
~请按空格键进入练习阶段~,难过,"(0.0, 0.3)",j,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.77147849998437,147.77147849998437,147.77147849998437,147.77147849998437,147.77147849998437,j,1,2.950940400012769,150.73798219999298,151.24274730001343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230624_lax,女,小学,8,001,2023-06-24_16h22.26.389,nalin_IRAP,2023.1.2,119.9656418857924,
~请按空格键进入练习阶段~,愁苦,"(0.0, -0.15)",f,0,0,0,0,0,9,9,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.24274730001343,151.24274730001343,151.24274730001343,151.24274730001343,151.24274730001343,f,1,3.329130099969916,154.58121999999275,155.0848184999777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230624_lax,女,小学,8,001,2023-06-24_16h22.26.389,nalin_IRAP,2023.1.2,119.9656418857924,
~请按空格键进入练习阶段~,高兴,"(0.0, -0.15)",j,0,0,0,0,0,10,10,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.0848184999777,155.0848184999777,155.0848184999777,155.0848184999777,155.0848184999777,j,1,3.1605803000275046,158.25940450001508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230624_lax,女,小学,8,001,2023-06-24_16h22.26.389,nalin_IRAP,2023.1.2,119.9656418857924,
~请按空格键进入练习阶段~,失落,"(0.0, 0.3)",j,0,0,0,0,0,11,11,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.77235819998896,158.77235819998896,158.77235819998896,158.77235819998896,158.77235819998896,j,1,3.4631588000338525,162.2512551000109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230624_lax,女,小学,8,001,2023-06-24_16h22.26.389,nalin_IRAP,2023.1.2,119.9656418857924,
~请按空格键进入练习阶段~,忧郁,"(0.0, 0.3)",j,0,0,0,0,0,12,12,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.76169269997627,162.76169269997627,162.76169269997627,162.76169269997627,162.76169269997627,j,1,2.1401188999880105,164.91498300002422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230624_lax,女,小学,8,001,2023-06-24_16h22.26.389,nalin_IRAP,2023.1.2,119.9656418857924,
~请按空格键进入练习阶段~,喜悦,"(0.0, -0.15)",j,0,0,0,0,0,13,13,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.43055460002506,165.43055460002506,165.43055460002506,165.43055460002506,165.43055460002506,j,1,2.581196599989198,168.0235189999803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230624_lax,女,小学,8,001,2023-06-24_16h22.26.389,nalin_IRAP,2023.1.2,119.9656418857924,
~请按空格键进入练习阶段~,愉快,"(0.0, -0.15)",j,0,0,0,0,0,14,14,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.5345858000219,168.5345858000219,168.5345858000219,168.5345858000219,168.5345858000219,j,1,3.6848817000281997,172.229118200019,172.73817409999901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230624_lax,女,小学,8,001,2023-06-24_16h22.26.389,nalin_IRAP,2023.1.2,119.9656418857924,
~请按空格键进入练习阶段~,悲伤,"(0.0, -0.15)",f,0,0,0,0,0,15,15,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.73817409999901,172.73817409999901,172.73817409999901,172.73817409999901,172.73817409999901,f,1,2.657845899986569,175.4134998000227,175.9191395000089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230624_lax,女,小学,8,001,2023-06-24_16h22.26.389,nalin_IRAP,2023.1.2,119.9656418857924,
~请按空格键进入练习阶段~,喜悦,"(0.0, 0.3)",f,0,0,0,0,0,16,16,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.9191395000089,175.9191395000089,175.9191395000089,175.9191395000089,175.9191395000089,f,1,2.087961399985943,178.01537360000657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230624_lax,女,小学,8,001,2023-06-24_16h22.26.389,nalin_IRAP,2023.1.2,119.9656418857924,
~请按空格键进入练习阶段~,悲伤,"(0.0, 0.3)",j,0,0,0,0,0,17,17,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.5324721999932,178.5324721999932,178.5324721999932,178.5324721999932,178.5324721999932,j,1,1.9145141000044532,180.46177340002032,180.96881859999849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230624_lax,女,小学,8,001,2023-06-24_16h22.26.389,nalin_IRAP,2023.1.2,119.9656418857924,
